CustomerID,CustomerName,Segment,Region,Profile
CUST-10000,Barbara Moore,Corporate,South,Regular
CUST-10001,David Gonzalez,Home Office,South,Churn-Cohort
CUST-10002,Christopher Martin,Corporate,East,Occasional
CUST-10003,Jennifer Rodriguez,Corporate,West,Regular
CUST-10004,Nancy Martin,Home Office,South,Regular
CUST-10005,Mary Gonzalez,Corporate,West,Regular
CUST-10006,Mary Thomas,Corporate,Central,VIP
CUST-10007,John Hernandez,Corporate,Central,Churn-Cohort
CUST-10008,David Thomas,Home Office,East,Occasional
CUST-10009,Elizabeth Jones,Corporate,South,Occasional
CUST-10010,Richard Rodriguez,Home Office,South,VIP
CUST-10011,Nancy Williams,Consumer,South,Churn-Cohort
CUST-10012,William Wilson,Home Office,South,Churn-Cohort
CUST-10013,Charles Lopez,Consumer,West,Regular
CUST-10014,Robert Martinez,Home Office,South,Regular
CUST-10015,Michael Taylor,Home Office,East,Regular
CUST-10016,Jennifer Miller,Consumer,East,Regular
CUST-10017,Elizabeth Johnson,Corporate,East,Regular
CUST-10018,Susan Miller,Corporate,Central,Regular
CUST-10019,Thomas Taylor,Corporate,East,Regular
CUST-10020,John Davis,Corporate,South,Occasional
CUST-10021,Nancy Anderson,Consumer,South,Regular
CUST-10022,Christopher Moore,Corporate,Central,Regular
CUST-10023,Jennifer Rodriguez,Home Office,East,Regular
CUST-10024,Barbara Smith,Corporate,East,Regular
CUST-10025,Jennifer Jackson,Consumer,West,Occasional
CUST-10026,Elizabeth Miller,Corporate,South,Regular
CUST-10027,Charles Smith,Home Office,East,Regular
CUST-10028,Sarah Jones,Home Office,West,Regular
CUST-10029,Nancy Smith,Consumer,Central,VIP
CUST-10030,Nancy Martinez,Home Office,Central,Occasional
CUST-10031,Jessica Gonzalez,Corporate,South,Regular
CUST-10032,David Miller,Corporate,Central,VIP
CUST-10033,Charles Martin,Corporate,East,Churn-Cohort
CUST-10034,John Taylor,Home Office,Central,Churn-Cohort
CUST-10035,Karen Martin,Home Office,Central,Churn-Cohort
CUST-10036,Barbara Brown,Corporate,East,Regular
CUST-10037,Richard Rodriguez,Home Office,Central,VIP
CUST-10038,David Rodriguez,Home Office,Central,Occasional
CUST-10039,William Jones,Home Office,West,Regular
CUST-10040,Mary Martin,Corporate,Central,Regular
CUST-10041,Michael Smith,Home Office,South,Regular
CUST-10042,Barbara Rodriguez,Corporate,South,VIP
CUST-10043,Joseph Johnson,Home Office,West,Churn-Cohort
CUST-10044,Richard Davis,Home Office,South,Regular
CUST-10045,Susan Taylor,Corporate,West,Occasional
CUST-10046,Karen Garcia,Corporate,East,Regular
CUST-10047,Sarah Jones,Home Office,Central,Regular
CUST-10048,Karen Garcia,Home Office,Central,Regular
CUST-10049,Robert Davis,Corporate,West,Regular
CUST-10050,Barbara Wilson,Corporate,Central,Churn-Cohort
CUST-10051,David Jackson,Corporate,South,Occasional
CUST-10052,Patricia Thomas,Consumer,East,Churn-Cohort
CUST-10053,Sarah Miller,Home Office,East,Churn-Cohort
CUST-10054,Joseph Taylor,Corporate,South,Regular
CUST-10055,Mary Jones,Consumer,West,Churn-Cohort
CUST-10056,Richard Wilson,Home Office,South,VIP
CUST-10057,Michael Hernandez,Home Office,West,Regular
CUST-10058,Robert Thomas,Corporate,West,VIP
CUST-10059,Richard Johnson,Consumer,South,Regular
CUST-10060,David Miller,Consumer,West,Regular
CUST-10061,Sarah Williams,Consumer,South,Regular
CUST-10062,Jessica Gonzalez,Corporate,South,Churn-Cohort
CUST-10063,Joseph Smith,Consumer,West,Regular
CUST-10064,Susan Smith,Corporate,West,Regular
CUST-10065,John Smith,Home Office,West,Regular
CUST-10066,Elizabeth Lopez,Corporate,West,Regular
CUST-10067,Patricia Gonzalez,Home Office,Central,Churn-Cohort
CUST-10068,Jennifer Williams,Consumer,Central,VIP
CUST-10069,Barbara Anderson,Home Office,Central,Churn-Cohort
CUST-10070,Jessica Jones,Corporate,South,Occasional
CUST-10071,Susan Miller,Consumer,South,Regular
CUST-10072,John Davis,Consumer,West,VIP
CUST-10073,William Smith,Home Office,West,Churn-Cohort
CUST-10074,Patricia Lopez,Home Office,East,Occasional
CUST-10075,Joseph Rodriguez,Home Office,East,Occasional
CUST-10076,Nancy Johnson,Home Office,East,Occasional
CUST-10077,John Johnson,Home Office,East,VIP
CUST-10078,Jessica Anderson,Corporate,East,Regular
CUST-10079,Karen Rodriguez,Corporate,West,Regular
CUST-10080,William Smith,Corporate,South,Churn-Cohort
CUST-10081,Patricia Taylor,Corporate,West,Occasional
CUST-10082,Jessica Brown,Home Office,East,Regular
CUST-10083,Barbara Brown,Consumer,South,VIP
CUST-10084,William Martin,Consumer,Central,Regular
CUST-10085,Charles Miller,Corporate,South,Regular
CUST-10086,Barbara Garcia,Consumer,South,Occasional
CUST-10087,William Thomas,Corporate,West,Occasional
CUST-10088,John Smith,Home Office,East,Churn-Cohort
CUST-10089,Patricia Jackson,Home Office,South,Regular
CUST-10090,Michael Williams,Home Office,East,Regular
CUST-10091,Patricia Rodriguez,Home Office,West,Occasional
CUST-10092,Thomas Martinez,Corporate,South,Occasional
CUST-10093,Mary Brown,Consumer,East,Regular
CUST-10094,Barbara Lopez,Home Office,Central,Occasional
CUST-10095,Jessica Brown,Consumer,East,Regular
CUST-10096,John Jones,Home Office,West,Regular
CUST-10097,Richard Lopez,Corporate,Central,Regular
CUST-10098,Robert Lopez,Corporate,West,VIP
CUST-10099,Patricia Gonzalez,Corporate,South,Regular
CUST-10100,David Gonzalez,Home Office,South,VIP
CUST-10101,Jessica Garcia,Consumer,West,Occasional
CUST-10102,Mary Garcia,Consumer,South,Regular
CUST-10103,Christopher Thomas,Home Office,South,Regular
CUST-10104,Jennifer Martin,Corporate,Central,Churn-Cohort
CUST-10105,Nancy Smith,Home Office,West,Regular
CUST-10106,Sarah Thomas,Consumer,South,Regular
CUST-10107,Thomas Johnson,Consumer,Central,Occasional
CUST-10108,Richard Smith,Home Office,West,Regular
CUST-10109,Richard Taylor,Home Office,East,VIP
CUST-10110,Jessica Davis,Corporate,Central,Regular
CUST-10111,Joseph Jones,Home Office,East,Regular
CUST-10112,John Garcia,Home Office,South,Churn-Cohort
CUST-10113,Sarah Garcia,Consumer,South,Churn-Cohort
CUST-10114,Richard Davis,Corporate,Central,Occasional
CUST-10115,Mary Taylor,Consumer,South,Churn-Cohort
CUST-10116,Joseph Davis,Consumer,South,Churn-Cohort
CUST-10117,Thomas Jackson,Corporate,East,Regular
CUST-10118,Sarah Anderson,Corporate,East,Churn-Cohort
CUST-10119,Sarah Smith,Consumer,South,Regular
CUST-10120,Jessica Johnson,Home Office,East,Churn-Cohort
CUST-10121,Robert Martin,Home Office,Central,Churn-Cohort
CUST-10122,Charles Moore,Consumer,South,Regular
CUST-10123,Richard Lopez,Consumer,West,Regular
CUST-10124,Thomas Hernandez,Home Office,South,Regular
CUST-10125,Susan Anderson,Consumer,East,Regular
CUST-10126,Elizabeth Smith,Corporate,Central,Churn-Cohort
CUST-10127,Barbara Moore,Home Office,Central,Churn-Cohort
CUST-10128,Patricia Johnson,Consumer,South,VIP
CUST-10129,Michael Wilson,Consumer,Central,Regular
CUST-10130,Nancy Miller,Consumer,East,Regular
CUST-10131,Joseph Miller,Corporate,West,Regular
CUST-10132,Richard Brown,Corporate,East,Regular
CUST-10133,Christopher Brown,Corporate,South,Regular
CUST-10134,Christopher Taylor,Consumer,South,Churn-Cohort
CUST-10135,John Taylor,Home Office,East,Regular
CUST-10136,Karen Wilson,Home Office,South,Regular
CUST-10137,Charles Garcia,Home Office,West,Occasional
CUST-10138,Michael Brown,Corporate,Central,Regular
CUST-10139,Charles Gonzalez,Corporate,West,Churn-Cohort
CUST-10140,David Gonzalez,Corporate,Central,Churn-Cohort
CUST-10141,Thomas Jones,Consumer,South,Regular
CUST-10142,Nancy Taylor,Corporate,Central,Regular
CUST-10143,Karen Miller,Consumer,West,Regular
CUST-10144,Nancy Martinez,Home Office,Central,Regular
CUST-10145,Michael Garcia,Home Office,Central,VIP
CUST-10146,Patricia Lopez,Home Office,South,Occasional
CUST-10147,Christopher Jackson,Home Office,South,Regular
CUST-10148,Karen Martinez,Corporate,East,VIP
CUST-10149,Charles Brown,Consumer,South,Regular
CUST-10150,Michael Johnson,Home Office,East,Churn-Cohort
CUST-10151,William Rodriguez,Consumer,Central,Regular
CUST-10152,David Jones,Consumer,Central,Regular
CUST-10153,William Moore,Consumer,Central,Regular
CUST-10154,Thomas Brown,Home Office,West,Churn-Cohort
CUST-10155,Karen Gonzalez,Consumer,Central,Regular
CUST-10156,Mary Gonzalez,Corporate,South,Occasional
CUST-10157,Richard Moore,Consumer,East,Occasional
CUST-10158,David Miller,Home Office,South,Regular
CUST-10159,Elizabeth Lopez,Home Office,West,Occasional
CUST-10160,William Martinez,Corporate,West,Regular
CUST-10161,Robert Garcia,Consumer,East,Occasional
CUST-10162,Joseph Johnson,Corporate,Central,Occasional
CUST-10163,Karen Rodriguez,Consumer,West,Regular
CUST-10164,Christopher Rodriguez,Consumer,Central,VIP
CUST-10165,Thomas Jones,Consumer,West,Churn-Cohort
CUST-10166,Richard Martin,Consumer,Central,Regular
CUST-10167,Sarah Jackson,Home Office,Central,Regular
CUST-10168,Robert Hernandez,Home Office,West,VIP
CUST-10169,Jennifer Taylor,Consumer,West,Regular
CUST-10170,Jessica Moore,Home Office,South,Occasional
CUST-10171,Robert Lopez,Consumer,West,VIP
CUST-10172,Richard Hernandez,Corporate,Central,Regular
CUST-10173,William Martin,Home Office,South,Regular
CUST-10174,Karen Smith,Consumer,Central,Occasional
CUST-10175,Thomas Davis,Home Office,West,Regular
CUST-10176,Mary Hernandez,Corporate,East,Occasional
CUST-10177,Joseph Rodriguez,Home Office,Central,Regular
CUST-10178,John Taylor,Corporate,South,Churn-Cohort
CUST-10179,Sarah Johnson,Corporate,West,Regular
CUST-10180,Richard Taylor,Consumer,East,Regular
CUST-10181,Jennifer Moore,Home Office,East,Regular
CUST-10182,Robert Miller,Home Office,West,Churn-Cohort
CUST-10183,Jessica Brown,Consumer,South,Churn-Cohort
CUST-10184,Robert Jones,Consumer,South,Regular
CUST-10185,Richard Johnson,Consumer,East,Occasional
CUST-10186,Mary Garcia,Corporate,East,Churn-Cohort
CUST-10187,Christopher Davis,Corporate,South,Regular
CUST-10188,Joseph Anderson,Home Office,South,Regular
CUST-10189,Jessica Hernandez,Consumer,South,Regular
CUST-10190,Patricia Moore,Consumer,East,VIP
CUST-10191,Christopher Johnson,Home Office,East,Churn-Cohort
CUST-10192,Susan Taylor,Consumer,Central,Churn-Cohort
CUST-10193,Barbara Martin,Consumer,Central,Occasional
CUST-10194,Thomas Gonzalez,Corporate,East,Regular
CUST-10195,Sarah Garcia,Home Office,West,Regular
CUST-10196,Michael Gonzalez,Home Office,Central,Occasional
CUST-10197,Michael Martinez,Home Office,Central,Churn-Cohort
CUST-10198,John Moore,Home Office,West,Churn-Cohort
CUST-10199,Patricia Johnson,Consumer,South,Occasional
CUST-10200,Karen Moore,Consumer,Central,Occasional
CUST-10201,William Lopez,Consumer,South,VIP
CUST-10202,Charles Jones,Consumer,West,Regular
